,Player,cluster,x,y
28,Michael Barrios\Michael-Barrios,0,-5403.12953200167,-733.1276964792329
29,Cole Bassett\Cole-Bassett,5,-14398.280482303513,-813.8079878153642
30,DaMarcus Beasley\DaMarcus-Beasley,2,-9186.198962289021,808.7051173713414
31,Kyle Beckerman\Kyle-Beckerman,3,9403.578098491818,-3143.0125744500706
32,Alejandro Bedoya\Alejandro-Bedoya,3,10075.271287418978,-2777.367322201827
33,Steven Beitashour\Steven-Beitashour,6,1880.3449218856733,-900.1409861094166
34,Leonardo Bertone\Leonardo-Bertone,3,4689.362991474884,-1741.8545549232592
35,Matt Besler\Matt-Besler,8,19655.89602742146,-13.941697276192857
36,David Bingham\David-Bingham,9,20641.4085401548,13749.188022702201
37,Steve Birnbaum\Steve-Birnbaum,1,11930.991359621286,2075.208531974222
38,Tristan Blackmon\Tristan-Blackmon,6,555.595495236015,1009.7365881517563
39,Andre Blake\Andre-Blake,7,2789.027317308058,7416.300485811784
40,Sebastián Blanco\Sebastian-Blanco,1,14960.320695645276,857.7892122907148
41,Latif Blessing\Latif-Blessing,3,6569.893252648571,-2121.1092120980393
42,Gustavo Bou\Gustavo-Bou,5,-16567.444112468696,-39.40067154213732
43,Michael Boxall\Michael-Boxall,6,1821.0685319516406,-373.3452488593549
44,Michael Bradley\Michael-Bradley,4,31656.964554405557,-2188.5217927689837
45,Bressan\Bressan,0,-4395.618644660511,303.95118871941304
46,Frédéric Brillant\Frederic-Brillant,1,11085.855980701614,1408.3545810411997
47,Brandt Bronico\Brandt-Bronico,0,-4640.535760260785,-1112.7957723016543
48,Teal Bunbury\Teal-Bunbury,5,-15183.64064146724,-1002.6963918150066
49,Evan Bush\Evan-Bush,7,10211.468972829332,7318.9400217708035
50,Brandon Bye\Brandon-Bye,6,1079.108612858388,4261.337485476526
51,Víctor Cabrera\Victor-Cabrera,6,440.1406636134847,6.5757914662706645
52,Luís Caicedo\Luis-Caicedo,6,-1569.3027778708793,-778.4405415621583
53,Scott Caldwell\Scott-Caldwell,2,-11620.078314980166,-91.40153160749324
54,Alexander Callens\Alexander-Callens,1,12293.436010772297,809.7573206978802
55,Francisco Calvo\Francisco-Calvo,1,11286.074166121776,2310.1291043497577
56,Rudy Camacho\Rudy-Camacho,3,5294.239416786638,-1180.3994442913242
57,Reggie Cannon\Reggie-Cannon,6,3466.4832596123247,-1178.3265923188994
58,Russell Canouse\Russell-Canouse,3,3991.997728336398,-1568.148314179203
59,Julio Cascante\Julio-Cascante,0,-6132.135826675298,646.196680092847
60,Cristian Cásseres\Cristian-Casseres,2,-9332.983715692415,774.4793351561716
61,Valentín Castellanos\Valentin-Castellanos,5,-16762.220215173176,-449.5653265453931
62,Edgar Castillo\Edgar-Castillo,0,-5574.430982072145,2650.6399222618597
63,Maxime Chanot\Maxime-Chanot,8,21203.688190099274,-963.0457738364537
64,Diego Chará\Diego-Chara,8,23414.894019354248,-2804.6064287754616
65,Laurent Ciman\Laurent-Ciman,6,996.9928846704382,-589.534220528167
66,Steve Clark\Steve-Clark,7,7243.912956912168,6071.237524345421
67,Derek Cornelius\Derek-Cornelius,0,-6225.405679528373,-382.00690788150166
68,Joe Corona\Joe-Corona,1,12547.115736107444,-2760.5645794826014
