Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
211,Anthony Fontana\Anthony-Fontana,us USA,MFFW,Philadelphia,1999,127,0,0,0.71,0.38,0,0.38,0.38,2.13,0.71,1,89.3,1056,234,66.7,93.8,62.5,13,70,5,0,14,0,0,67,3,5,8,64
212,Andreu Fontàs\Andreu-Fontas,es ESP,DF,Sporting KC,1989,967,2,0,0,0.04,0.01,0.04,0.05,0.37,0.19,0,90.4,15275,5274,33.3,95.5,80.8,52,774,21,0,78,20,1,651,62,82,654,100
213,Waylon Francis\Waylon-Francis,cr CRC,DF,Columbus,1990,1382,3,0,0,0.01,0.04,0.01,0.04,0.2,0,,79.5,12405,5377,21.4,87.4,60.7,96,672,167,1,100,8,38,456,152,231,564,69
214,Przemysław Frankowski\Przemyslaw-Frankowski,pl POL,FWMF,Chicago,1995,2303,3,0.27,0.2,0.26,0.22,0.26,0.48,2.19,0.9,0.22,76,13990,4061,18.4,83.2,60.6,119,960,71,3,185,29,79,693,179,159,147,768
215,Liam Fraser\Liam-Fraser,ca CAN,MFDF,Toronto FC,1998,810,3,0,0,0.06,0.02,0.06,0.08,0.78,0.11,0,88.7,14000,4298,71.4,92.4,81.2,93,701,34,2,100,34,12,562,82,91,95,621
216,Matt Freese\Matt-Freese,us USA,GK,Philadelphia,1998,437,0,0,0,0,0,0,0,0,0,,62.8,3116,2264,,100,52.5,0,81,48,0,12,1,0,39,8,82,7,88
217,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle,1986,3060,1,0,0,0,0,0,0,0,0,,75,27774,16638,,99.4,65.4,0,748,399,0,87,30,0,562,89,496,123,788
218,Alejandro Fuenmayor\Alejandro-Fuenmayor,ve VEN,DF,Houston,1996,698,3,0.13,0,0.09,0,0.09,0.09,0.39,0,,87.6,8041,2706,28.6,94.7,78.7,22,388,15,0,35,15,2,323,25,55,71,315
219,Gilbert Fuentes\Gilbert-Fuentes,us USA,FW,San Jose,2002,3,0,0,0,0,0,0,0,0,0,,66.7,32,11,,100,0,0,3,0,0,2,0,0,3,0,0,0,3
220,Ray Gaddis\Ray-Gaddis,us USA,DF,Philadelphia,1990,2958,2,0.03,0,0.01,0.03,0.01,0.04,0.09,0,,83.1,24212,7550,22,89.1,69.2,148,1388,235,0,187,24,37,1118,263,242,143,1187
221,Nicolás Gaitán\Nicolas-Gaitan,ar ARG,MF,Chicago,1988,2006,2,0.49,0.13,0.26,0.27,0.15,0.42,1.26,0.49,0.27,65,13346,4469,30,79.6,46.3,152,870,152,6,171,90,143,523,154,345,873,94
222,Erickson Gallardo\Erickson-Gallardo,ve VEN,MFFW,Toronto FC,1993,241,0,0.37,0,0.15,0.22,0.15,0.37,1.12,0,,69.8,812,265,0,76.4,41.7,6,84,2,0,18,2,9,59,14,13,5,74
